29	486
0	378
0	175
0	532
0	1113
0	1934
0	2547
21	727
2	2539
4	1998
0	2872
3	170
9	842
13	2118
0	489
4	2114
0	643
0	1224
0	1597
4	894
4	203
3	654
4	1117
11	1930
7	174
13	2828
11	171
34	8
16	515
4	2692
0	1330
1	1444
1	1135
0	1708
0	1895
3	1234
1	2033
0	2065
0	2630
45	61
13	585
12	727
35	123
0	55
0	636
0	1441
0	1814
0	2395
4	924
0	2176
0	2805
11	1701
9	1539
0	369
0	166
0	747
1	1683
0	1104
0	1925
4	35
19	1922
4	2551
21	2377
9	184
0	2879
11	83
0	480
0	853
0	666
0	1231
0	1588
3	288
0	2990
37	2092
9	9
15	2460
14	367
0	415
0	964
0	1289
2	1016
0	1699
0	1918
4	321
0	2653
36	739
9	922
9	557
13	13
0	14
0	627
0	1464
2	875
0	2029
0	2386
4	464
1	1326
18	2129
45	764
9	1470
35	2611
13	1268
0	328
0	189
0	738
0	1111
0	1948
0	2497
3	623
23	286
5	164
2	442
3	152
0	2870
1	1375
4	1980
30	1431
0	487
0	812
0	657
0	1222
0	1547
0	2160
0	2981
4	1432
14	2537
13	181
0	406
0	987
0	1280
37	586
0	1722
2	1011
4	2247
0	2287
4	1234
0	2644
28	2025
46	941
14	1030
16	827
29	2156
0	586
0	1471
1	137
0	2020
24	726
0	2206
18	2120
4	1377
45	757
0	2345
3	455
25	3
35	2127
35	1666
0	2755
45	2924
1	908
0	335
0	761
0	1070
18	409
5	1031
4	17
3	1067
0	2520
0	2829
12	2738
29	716
35	2441
17	1036
13	488
0	510
0	803
36	95
0	1245
0	1384
0	1538
4	160
4	1789
0	2167
9	718
13	2498
13	174
0	109
0	978
0	1287
0	1868
0	1713
4	1018
4	311
0	2278
26	267
1	2280
0	2603
30	89
14	1033
13	1173
0	577
18	1376
0	2043
0	2336
0	2197
0	2778
3	121
48	1033
18	400
0	139
0	752
0	1061
20	326
3	134
4	24
3	1040
0	326
6	369
45	895
0	2527
0	2820
29	48
0	501
0	826
0	1391
0	1236
0	1561
5	1425
0	2126
0	2995
4	1073
9	60
45	912
29	1291
11	1405
0	100
0	937
0	1859
0	1672
4	993
22	384
24	2015
4	1216
0	2594
13	2806
9	576
0	19
0	600
0	2034
4	571
41	823
4	461
0	2343
0	2769
11	603
28	896
13	1620
0	349
0	130
0	759
0	1084
0	1633
1	926
3	578
0	2518
0	2843
38	2312
3	1049
3	2914
9	2037
13	282
13	1136
0	460
0	817
0	1382
0	1195
0	1552
4	2093
0	2117
6	1048
4	1080
5	2233
9	1862
35	1061
0	123
0	928
0	1301
0	1882
0	1679
2	521
0	2617
4	1906
4	1000
9	483
7	792
13	1788
11	2049
13	1362
0	234
0	607
0	1412
0	2366
0	2915
4	1374
5	925
40	2522
13	1048
0	340
0	153
0	718
0	1075
0	1656
0	2477
18	79
0	2834
1	2926
9	221
29	1388
9	656
13	701
0	451
0	776
0	1405
37	66
0	1559
0	2140
0	2945
4	1770
3	1634
47	25
13	526
0	114
0	935
0	1516
0	1873
0	1670
0	2251
0	2608
4	1206
45	478
13	42
13	1781
13	1355
0	225
0	598
0	1435
0	1984
3	108
4	102
3	1014
0	2357
0	2735
21	1531
11	28
13	443
0	299
0	144
1	595
0	1034
0	1663
0	2468
4	2956
13	2453
10	2568
18	268
0	474
0	1396
0	1209
0	1774
36	1989
0	2131
5	18
0	783
4	1745
35	1865
0	73
0	1507
0	1832
0	1693
0	2242
0	2615
1	1515
11	1066
13	1348
0	248
1	238
2	276
38	1802
0	2316
37	1479
4	442
0	2726
2	2157
0	1991
4	2039
13	436
29	2298
0	290
0	151
0	732
0	1025
0	1654
3	226
0	2491
36	606
6	776
24	1159
13	2446
48	30
11	98
29	20
0	465
0	774
0	1355
0	1200
1	453
0	1765
0	2090
3	1181
0	2975
9	531
35	162
0	64
0	949
18	1324
0	1839
0	1684
3	384
0	2265
3	2406
0	1530
0	2574
13	2416
13	1202
13	1405
0	255
24	2156
0	1129
0	2014
0	2307
1	2443
4	417
0	548
0	2749
0	2888
29	561
11	10
47	214
13	994
48	2628
0	313
1	429
0	723
0	878
2	158
0	1048
0	2482
4	2511
4	1933
2	2071
11	724
35	1597
0	424
0	797
0	1346
0	1207
0	1788
4	829
3	719
0	2081
1	478
29	1650
4	2049
0	2966
11	232
0	71
1	335
0	908
18	858
1	1509
3	50
4	281
0	2256
0	1830
21	2472
0	1521
9	613
29	271
13	1195
0	246
0	571
0	1120
24	2163
3	67
4	518
44	1499
1	645
4	1330
0	2740
4	83
0	2330
13	422
13	1649
0	304
0	869
0	682
0	1055
0	1604
36	25
1	2365
0	2441
4	226
30	140
0	431
1	471
0	1369
0	1166
0	1779
0	2104
18	1573
0	2669
4	2056
11	1597
0	788
13	2321
29	812
11	225
4	1742
48	2255
13	1310
1	669
0	899
0	1480
0	1853
0	2402
0	2263
1	2271
0	2588
11	1508
9	622
35	1280
0	205
0	562
0	1127
0	1964
24	270
4	407
3	978
4	1337
0	2699
13	2088
0	2886
45	1513
0	311
18	481
1	98
0	673
0	1046
0	1627
4	668
5	229
4	1574
22	1229
0	2432
7	76
11	137
0	422
0	1003
0	1360
0	1157
18	1564
0	1738
0	2111
13	555
14	1675
0	85
0	922
0	1487
18	131
0	2425
0	2222
0	2579
13	2565
7	882
47	427
0	196
0	521
0	1150
0	1955
18	18
24	277
4	65
0	2536
0	2690
0	2909
13	1635
0	270
0	883
0	696
0	1261
0	1618
4	667
5	1555
19	827
0	2439
11	1889
18	363
0	994
0	1367
0	1180
0	445
0	1729
0	2102
0	2683
18	2733
5	714
13	548
13	239
35	1441
11	2454
0	913
0	1478
0	1803
0	2416
0	2213
0	2794
5	603
11	1720
0	219
0	512
0	1141
0	1978
4	755
1	536
24	209
0	2713
0	2543
0	2900
11	509
13	1063
0	261
0	842
0	703
0	1252
0	1577
4	642
4	223
1	2304
1	966
0	2462
3	1105
0	436
0	1017
0	1326
0	1171
0	1752
0	2061
0	2674
24	2031
4	366
9	125
11	2039
13	2929
29	354
15	1362
0	616
0	1501
0	1794
21	152
0	2236
0	2423
1	171
4	1159
38	1860
7	864
0	2785
12	698
13	1231
0	365
0	210
0	519
0	1100
37	1517
0	1969
0	2534
4	2673
0	2704
1	1556
0	2859
11	664
11	47
13	458
1	991
0	833
24	2302
0	1275
0	2453
4	198
3	643
13	144
0	395
0	1008
0	1317
18	1523
36	1625
4	792
4	341
0	1759
25	1000
0	1898
0	2052
11	1459
19	515
3	349
13	598
0	2633
1	761
1	172
0	1492
0	623
0	1817
0	2227
3	929
4	1841
0	2382
0	2808
4	594
1	2957
13	1597
29	2765
0	356
0	169
0	542
0	1091
0	1928
3	164
0	2850
0	2711
0	2557
13	2945
9	1307
0	275
0	856
0	653
0	1266
1	1252
24	2245
4	205
4	1562
0	1575
37	792
9	30
15	16
0	386
0	1015
0	1340
0	1889
0	1750
4	775
3	793
6	551
4	1254
3	1260
9	111
3	1699
9	1269
0	2075
13	591
0	2624
13	1701
0	49
0	614
0	1808
3	28
0	2186
3	934
4	1848
24	1057
0	2373
6	950
0	2815
0	379
0	160
0	533
0	1114
0	1935
5	1067
4	744
24	956
1	1689
0	2548
0	2873
10	268
13	2117
9	2109
13	1927
0	490
0	863
0	644
0	1225
1	1277
2	1388
0	1598
0	2147
2	79
3	2030
4	2115
0	2984
35	1027
18	792
19	90
0	1331
1	1134
4	782
0	1709
5	83
0	1912
9	477
1	2032
0	2066
4	347
13	19
35	122
0	8
0	637
0	1442
0	1815
0	2396
0	2177
11	965
0	370
0	167
0	748
1	47
0	1105
0	1926
18	1159
4	1657
0	2864
35	2001
13	501
0	481
0	854
0	667
0	1216
37	1641
18	2220
0	2170
5	203
4	1093
0	2991
13	1809
4	2700
0	1290
0	1919
0	1700
0	2281
4	322
0	2654
9	921
0	15
0	628
0	1465
0	2030
3	10
0	2200
4	465
0	2387
4	2583
9	343
0	329
0	190
0	739
0	1064
1	1374
0	1949
3	622
4	1632
0	2498
0	2871
4	2978
29	1159
29	61
13	664
11	2242
0	504
0	813
0	658
18	580
0	1548
42	623
5	1657
5	2328
26	2569
24	2266
13	180
13	383
17	1179
0	1281
0	1910
0	1723
0	2272
5	1930
0	2645
9	1256
29	788
14	1031
16	828
0	6
0	587
38	578
0	1456
0	2021
0	2207
0	2346
0	2756
3	1831
4	1378
18	2121
11	556
45	2923
0	320
18	406
0	762
0	1071
0	1940
0	2521
4	18
5	172
3	128
4	1956
9	169
0	2830
25	1797
1	2842
45	1691
13	657
0	511
0	804
18	297
0	1246
0	1385
0	1539
0	2120
4	1099
5	648
29	892
13	173
35	128
0	110
0	979
0	1304
0	1869
1	1137
0	1714
3	885
36	1073
0	2279
0	2604
13	62
35	17
0	29
0	1463
0	2044
0	2337
0	2198
3	898
18	1377
4	1385
0	2779
45	184
45	1539
9	1589
13	1626
0	327
0	140
1	50
0	1062
0	753
4	716
4	25
3	604
3	137
44	2303
46	1475
0	1643
0	2512
11	121
13	650
0	2821
28	135
0	502
0	1376
0	1237
0	1562
0	2127
4	168
5	1643
4	1074
3	1994
0	2996
29	1290
29	885
13	166
13	369
13	1479
0	101
0	938
0	1311
1	1415
18	1481
0	1860
4	994
4	1908
0	2595
0	2302
0	182
29	1467
16	1483
18	1859
0	20
0	601
36	872
0	2035
0	2360
40	1473
4	462
5	472
3	1813
0	2770
3	1374
13	392
0	350
0	131
0	712
0	1085
4	2626
0	2519
0	2844
28	158
11	126
13	1135
0	461
0	818
0	1383
0	1196
0	1553
4	2094
4	858
0	2118
22	1159
0	2955
9	1202
11	207
13	532
0	124
0	929
0	1302
0	1883
2	400
0	2293
4	294
4	1907
3	428
0	2618
4	1001
3	1677
9	1750
13	1158
0	235
0	1413
0	1994
0	2916
0	2729
4	1794
11	595
11	429
14	1419
0	154
1	12
0	1076
0	719
38	966
0	1657
0	2478
4	1518
11	1878
